item_no,description,price_jpy
1072010,Swivel QSM40 EC204B Complete,189800
8000408,10pcs sockets Junior Power Timer,2700
7001086,"Accumulator H1400R 1,48l-60bar",111000
1020017,"Accumulator HFX 0,16l-20bar",110800
7000296,"Accumulator QSC-0,75l-60bar",69800
7001318,"Accumulator SBO 330-0,75-60bar for QSC",219100
790102,"Accumulator SK/SG 0,32l-145bar",73500
8002912,ADAPTDC3-Liebherr Premium breakouts,76500
7001855,Adapter - cutting ring M30x2 - G3/4,3000
710210,Adapter 030045-04-04,3200
710211,Adapter 030045-06-06,3500
710212,Adapter 030045-08-08,5400
712217,Adapter 030045-12-12,10500
710219,Adapter 030090-02-02 90°,2000
710215,Adapter 030090-04-04 90°,2500
710216,Adapter 030090-06-06 90°,2800
710217,Adapter 030090-08-08 90°,3500
7001321,Adapter 030417-04-04,4300
7001578,Adapter 030543-02-04,1200
7000348,Adapter 030822-06-06 90°,2600
7001492,Adapter 030852-04-04,5600
7000950,Adapter 031138-04-04,3900
7000959,Adapter 031138-06-06,3900
7000961,Adapter 031138-08-08,2300
7000993,Adapter 031138-12-12,3500
7000994,Adapter 031138-16-16,9000
7001491,Adapter 032703-04-04,1100
710298,"Adapter 1 1/16"" SAE - 1/2"" BSP",3200
710103,Adapter 135-02-04,900
710118,Adapter 135-04-06,400
710120,Adapter 135-04-08,900
710122,Adapter 135-06-08,900
710107,Adapter 135-06-12,2000
710123,Adapter 135-06-16,4900
710109,Adapter 135-08-12,2000
710110,Adapter 135-08-16,3400
7000723,"Adapter 135-12-16 - 3/4""x1""",4800
7001089,Adapter 135-12-20,4500
7001046,Adapter 135-16-20,4000
710102,Adapter 136-02-02,500
710104,Adapter 136-04-04,200
710106,Adapter 136-06-06,400
710108,Adapter 136-08-08,900
710126,Adapter 136-12-12,1400
710127,Adapter 136-16-16,3100
7001493,Adapter 137-04-04UNF,6000
710135,Adapter 138-04-29 ( compact 136-04-04 ),400
7000713,Adapter 139-00-02 Throttling 1mm,1400
7001560,Adapter 147-18-04,800
710236,Adapter 234-04-02,1000
710235,Adapter 234-06-04,600
710232,Adapter 234-08-04,1200
710233,Adapter 234-08-06,1100
7000115,Adapter 234-12-04,1200
710234,Adapter 234-12-06,1200
712219,Adapter 234-12-08,1200
7000949,Adapter 235-02-04,900
710289,Adapter 235-04-06,600
710133,Adapter 235-06-04,600
7001102,Adapter 235-06-08,1300
7000705,Adapter 235-08-06,1200
710129,Adapter 236-02-02,700
1013885,Adapter 236-04-04,700
710131,Adapter 236-06-06,900
710132,Adapter 236-08-08,1000
712226,Adapter 236-12-12,1400
710293,Adapter 401-02-02 90°,3400
7001096,Adapter 401-02-04 90°,7400
710151,Adapter 401-04-04 90°,2800
710154,Adapter 401-04-06 90°,6000
710152,Adapter 401-06-06 90°,3200
710157,Adapter 401-06-08 90°,4300
7000233,Adapter 401-08-06 90°,8500
710156,Adapter 401-08-08 90°,4000
7002062,Adapter 401-08-08 90° (716-08),1900
710155,Adapter 401-08-12 90°,5600
7000537,Adapter 401-12-08 90°,5400
712201,Adapter 401-12-12 90°,5600
7001428,Adapter 401-12-16 90°,8300
7001097,Adapter 402-02-04 45°,5600
7000104,Adapter 402-04-04 45°,3100
7000090,Adapter 402-06-06 45°,3900
